x,y,z,a,b,c
11733370.00000000,6983337.00000000,347.38699341,-0.698798,-0.083156,0.710469
11733335.00000000,6983337.50000000,328.49600220,-0.022659,-0.087399,0.995916
11733345.00000000,6983335.50000000,329.25000000,-0.089813,-0.082992,0.992495
11733352.00000000,6983333.50000000,329.88000488,-0.158316,-0.097890,0.982524
11733360.00000000,6983331.50000000,330.31298828,-0.298096,-0.098490,0.949441
11733368.00000000,6983329.50000000,330.33898926,-0.485961,-0.097759,0.868496
11733337.00000000,6983335.50000000,328.52200317,-0.044906,-0.082146,0.995608
11733344.00000000,6983333.50000000,329.08599854,-0.080237,-0.082497,0.993356
11733352.00000000,6983332.00000000,329.73599243,-0.155588,-0.097695,0.982979
11733359.00000000,6983330.00000000,330.16900635,-0.277016,-0.097541,0.955902
11733367.00000000,6983328.00000000,330.26699829,-0.467991,-0.100385,0.878013
11733374.00000000,6983333.00000000,349.79501343,-0.735465,-0.055913,0.675252
11733341.00000000,6983333.00000000,328.77801514,-0.068088,-0.079250,0.994527
11733349.00000000,6983331.00000000,329.42098999,-0.110498,-0.089562,0.989833
11733357.00000000,6983329.00000000,329.95901489,-0.240530,-0.095448,0.965937
11733365.00000000,6983327.00000000,330.12899780,-0.420858,-0.101395,0.901442
11733374.00000000,6983331.50000000,349.45999146,-0.736777,-0.055795,0.673829
11733343.00000000,6983330.50000000,328.78500366,-0.072853,-0.079578,0.994163
11733351.00000000,6983329.00000000,329.45401001,-0.133863,-0.091216,0.986793
11733359.00000000,6983327.00000000,329.91299438,-0.277016,-0.097541,0.955902
11733367.00000000,6983325.00000000,330.07699585,-0.455987,-0.117903,0.882142
11733373.00000000,6983323.00000000,330.05099487,-0.489875,-0.196250,0.849417
11733341.00000000,6983330.00000000,328.54199219,-0.065719,-0.079086,0.994699
11733349.00000000,6983328.00000000,329.11300659,-0.107703,-0.089174,0.990176
11733356.00000000,6983326.00000000,329.66400146,-0.216371,-0.093803,0.971794
11733363.00000000,6983324.00000000,329.92599487,-0.370505,-0.105273,0.922845
11733374.00000000,6983321.50000000,329.99200439,-0.472508,-0.221913,0.852931
11733341.00000000,6983328.50000000,328.43701172,-0.065574,-0.078911,0.994723
11733349.00000000,6983327.00000000,329.04699707,-0.107479,-0.086676,0.990422
11733356.00000000,6983325.00000000,329.57199097,-0.210617,-0.090977,0.973326
11733364.00000000,6983323.00000000,329.85400391,-0.391229,-0.109212,0.913790
11733372.00000000,6983321.00000000,330.05700684,-0.476996,-0.195882,0.856799
11733338.00000000,6983328.00000000,328.14801025,-0.058789,-0.080974,0.994981
11733346.00000000,6983326.00000000,328.72500610,-0.080387,-0.087180,0.992944
11733353.00000000,6983324.50000000,329.30899048,-0.162432,-0.085427,0.983015
11733361.00000000,6983322.50000000,329.63101196,-0.313869,-0.099326,0.944257
11733369.00000000,6983320.50000000,329.80801392,-0.452366,-0.161455,0.877096
11733335.00000000,6983327.50000000,327.83999634,-0.047298,-0.082497,0.995468
11733342.00000000,6983325.50000000,328.33200073,-0.065841,-0.083696,0.994314
11733349.00000000,6983324.00000000,328.88900757,-0.104973,-0.084209,0.990903
11733357.00000000,6983322.00000000,329.36801147,-0.216371,-0.093803,0.971794
11733364.00000000,6983320.00000000,329.64999390,-0.379630,-0.114579,0.918015
11733372.00000000,6983318.00000000,329.84100342,-0.460891,-0.204343,0.863611
11733338.00000000,6983325.00000000,327.89898682,-0.061259,-0.083535,0.994620
11733345.00000000,6983323.00000000,328.43701172,-0.073138,-0.086640,0.993551
11733353.00000000,6983321.00000000,328.96200562,-0.156627,-0.084890,0.984003
11733361.00000000,6983319.00000000,329.40100098,-0.307538,-0.098993,0.946372
11733368.00000000,6983317.00000000,329.61801147,-0.424882,-0.156990,0.891532
11733335.00000000,6983324.00000000,327.64300537,-0.049802,-0.087429,0.994925
11733343.00000000,6983322.00000000,328.11499023,-0.066257,-0.088717,0.993851
11733351.00000000,6983320.00000000,328.69900513,-0.132703,-0.083380,0.987642
11733359.00000000,6983318.00000000,329.15200806,-0.264131,-0.094056,0.959890
11733368.00000000,6983315.50000000,329.41400146,-0.415229,-0.162356,0.895112
11733373.00000000,6983314.00000000,329.70300293,-0.426867,-0.235151,0.873206
11733340.00000000,6983320.50000000,327.72799683,-0.063865,-0.090755,0.993823
11733348.00000000,6983318.50000000,328.29199219,-0.100367,-0.088830,0.990977
11733356.00000000,6983316.50000000,328.85699463,-0.182110,-0.091666,0.978996
11733364.00000000,6983314.50000000,329.00698853,-0.328241,-0.129389,0.935690
11733370.00000000,6983313.00000000,329.19799805,-0.409284,-0.187892,0.892851
11733337.00000000,6983319.50000000,327.37399292,-0.059255,-0.092796,0.993920
11733344.00000000,6983317.50000000,327.81298828,-0.071334,-0.093980,0.993015
11733352.00000000,6983315.50000000,328.41000366,-0.144499,-0.091954,0.985223
11733359.00000000,6983313.50000000,328.70599365,-0.244540,-0.103706,0.964077
11733367.00000000,6983311.50000000,328.87600708,-0.359865,-0.155428,0.919967
11733373.00000000,6983317.50000000,348.70498657,-0.722340,-0.139662,0.677288
11733338.00000000,6983317.00000000,327.28900146,-0.061744,-0.095423,0.993520
11733346.00000000,6983315.00000000,327.84600830,-0.083694,-0.097452,0.991715
11733354.00000000,6983313.00000000,328.31201172,-0.161437,-0.098319,0.981973
11733362.00000000,6983311.00000000,328.58801270,-0.276211,-0.125550,0.952861
11733370.00000000,6983314.00000000,342.21600342,-0.623876,-0.205894,0.753914
11733337.00000000,6983316.00000000,326.82901001,-0.059494,-0.097660,0.993440
11733344.00000000,6983314.00000000,327.58999634,-0.076319,-0.099101,0.992146
11733352.00000000,6983312.00000000,328.06900024,-0.142431,-0.096949,0.985045
11733360.00000000,6983310.00000000,328.39099121,-0.241689,-0.120198,0.962880
11733368.00000000,6983308.00000000,328.57400513,-0.350700,-0.155090,0.923556
11733337.00000000,6983314.50000000,326.97399902,-0.059627,-0.097879,0.993411
11733345.00000000,6983313.00000000,327.47198486,-0.078601,-0.096827,0.992193
11733352.00000000,6983311.00000000,327.88598633,-0.139722,-0.099119,0.985217
11733360.00000000,6983309.00000000,328.18099976,-0.235636,-0.119750,0.964435
11733367.00000000,6983307.00000000,328.33200073,-0.335737,-0.150598,0.929839
11733337.00000000,6983313.50000000,326.82299805,-0.059627,-0.097879,0.993411
11733345.00000000,6983311.50000000,327.34100342,-0.078457,-0.092102,0.992654
11733353.00000000,6983309.50000000,327.71499634,-0.145735,-0.102376,0.984012
11733360.00000000,6983307.50000000,327.93099976,-0.224681,-0.121970,0.966769
11733370.00000000,6983311.50000000,345.97601318,-0.663998,-0.202759,0.719719
11733372.00000000,6983310.50000000,345.19500732,-0.640808,-0.265546,0.720313
11733339.00000000,6983311.50000000,326.80999756,-0.061632,-0.090768,0.993963
11733347.00000000,6983309.50000000,327.32800293,-0.092851,-0.090558,0.991553
11733355.00000000,6983307.50000000,327.60299683,-0.158993,-0.103164,0.981875
11733363.00000000,6983305.00000000,327.78698730,-0.274966,-0.131505,0.952418
11733371.00000000,6983309.50000000,345.59500122,-0.647448,-0.258029,0.717100
11733375.00000000,6983312.00000000,353.94799805,-0.777416,-0.116539,0.618097
11733341.00000000,6983310.00000000,326.79598999,-0.063748,-0.086116,0.994244
11733349.00000000,6983308.00000000,327.24899292,-0.104953,-0.086500,0.990708
11733356.00000000,6983306.00000000,327.51098633,-0.167673,-0.104031,0.980338
11733364.00000000,6983304.00000000,327.58999634,-0.284356,-0.134836,0.949190
11733368.00000000,6983302.50000000,327.63598633,-0.321452,-0.155897,0.934005
11733375.00000000,6983310.00000000,352.55099487,-0.770552,-0.178524,0.611864
11733340.00000000,6983309.00000000,326.63198853,-0.063606,-0.085924,0.994269
11733348.00000000,6983307.00000000,327.11099243,-0.097029,-0.081048,0.991976
11733356.00000000,6983305.00000000,327.32800293,-0.164503,-0.103576,0.980924
11733364.00000000,6983302.50000000,327.39999390,-0.271819,-0.131268,0.953354
11733368.00000000,6983301.50000000,327.28799438,-0.312246,-0.158186,0.936739
11733337.00000000,6983308.50000000,326.33099365,-0.061383,-0.085936,0.994408
11733345.00000000,6983306.50000000,326.76998901,-0.074633,-0.070178,0.994739
11733353.00000000,6983304.00000000,327.03900146,-0.125430,-0.087918,0.988199
11733361.00000000,6983302.00000000,327.15701294,-0.208399,-0.114935,0.971267
11733370.00000000,6983306.00000000,343.92199707,-0.593201,-0.278312,0.755417
11733375.00000000,6983309.00000000,355.09698486,-0.786666,-0.138823,0.601568
11733342.00000000,6983305.50000000,326.33099365,-0.067256,-0.065051,0.995613
11733349.00000000,6983303.50000000,326.61300659,-0.091324,-0.071029,0.993285
11733357.00000000,6983301.50000000,326.71099854,-0.152906,-0.095115,0.983653
11733364.00000000,6983299.00000000,326.71099854,-0.239178,-0.122821,0.963176
11733373.00000000,6983307.50000000,354.51300049,-0.783953,-0.157994,0.600379
11733338.00000000,6983304.50000000,325.98300171,-0.069451,-0.065041,0.995463
11733346.00000000,6983302.50000000,326.20599365,-0.071369,-0.055997,0.995877
11733353.00000000,6983300.00000000,326.30398560,-0.103427,-0.069330,0.992218
11733361.00000000,6983298.00000000,326.35000610,-0.189773,-0.105429,0.976151
11733369.00000000,6983296.00000000,326.29699707,-0.272411,-0.134212,0.952774
11733335.00000000,6983303.00000000,325.60198975,-0.071664,-0.060639,0.995584
11733342.00000000,6983301.00000000,325.75299072,-0.065745,-0.042034,0.996951
11733350.00000000,6983299.00000000,325.89099121,-0.073259,-0.049204,0.996099
11733358.00000000,6983296.50000000,325.92401123,-0.132140,-0.078349,0.988130
11733365.00000000,6983294.50000000,326.04199219,-0.225706,-0.110940,0.967858
11733374.00000000,6983301.00000000,347.91799927,-0.660294,-0.326091,0.676518
11733339.00000000,6983300.00000000,325.38598633,-0.072353,-0.035637,0.996742
11733346.00000000,6983298.00000000,325.51699829,-0.058445,-0.030816,0.997815
11733354.00000000,6983296.00000000,325.60900879,-0.090189,-0.056786,0.994304
11733361.00000000,6983294.00000000,325.69400024,-0.162783,-0.088023,0.982728
11733370.00000000,6983291.50000000,326.10101318,-0.271288,-0.116641,0.955405
11733337.00000000,6983299.00000000,325.14898682,-0.078969,-0.033535,0.996313
11733346.00000000,6983296.00000000,325.24099731,-0.050812,-0.013481,0.998617
11733353.00000000,6983294.00000000,325.40499878,-0.065475,-0.037567,0.997147
11733361.00000000,6983292.00000000,325.62799072,-0.144034,-0.069089,0.987158
11733369.00000000,6983290.00000000,325.92300415,-0.256654,-0.104467,0.960841
11733336.00000000,6983298.00000000,325.00500488,-0.083105,-0.026982,0.996175
11733344.00000000,6983295.50000000,325.07699585,-0.050399,-0.003086,0.998724
11733352.00000000,6983293.50000000,325.26098633,-0.056204,-0.032874,0.997878
11733359.00000000,6983291.50000000,325.51699829,-0.119753,-0.058166,0.991098
11733367.00000000,6983289.50000000,325.84500122,-0.222262,-0.091667,0.970668
11733335.00000000,6983297.00000000,324.84799194,-0.089733,-0.022703,0.995707
11733343.00000000,6983295.00000000,324.93301392,-0.054614,-0.001030,0.998507
11733350.00000000,6983293.00000000,325.12298584,-0.040292,-0.017563,0.999034
11733358.00000000,6983290.50000000,325.42498779,-0.104376,-0.050504,0.993255
11733365.00000000,6983288.50000000,325.64801025,-0.187279,-0.068870,0.979890
11733373.00000000,6983287.00000000,326.08099365,-0.291673,-0.084261,0.952799
11733341.00000000,6983294.00000000,324.73599243,-0.067624,0.001040,0.997710
11733349.00000000,6983292.00000000,324.99798584,-0.035798,-0.013296,0.999271
11733357.00000000,6983290.00000000,325.33999634,-0.089260,-0.042977,0.995081
11733364.00000000,6983287.50000000,325.58200073,-0.169280,-0.060373,0.983717
11733374.00000000,6983285.50000000,326.11401367,-0.304825,-0.060451,0.950488
11733341.00000000,6983292.50000000,324.50000000,-0.065552,-0.001041,0.997849
11733349.00000000,6983290.50000000,324.89999390,-0.027344,-0.009115,0.999584
11733357.00000000,6983288.50000000,325.26098633,-0.084153,-0.040437,0.995632
11733364.00000000,6983286.00000000,325.54901123,-0.165885,-0.052942,0.984723
11733372.00000000,6983284.00000000,326.00900269,-0.277841,-0.051545,0.959243
11733340.00000000,6983291.00000000,324.26400757,-0.074606,-0.005254,0.997199
11733347.00000000,6983289.00000000,324.72299194,-0.031455,-0.009132,0.999463
11733355.00000000,6983287.00000000,325.15600586,-0.055974,-0.028515,0.998025
11733362.00000000,6983285.00000000,325.46398926,-0.138697,-0.046997,0.989219
11733370.00000000,6983283.00000000,325.93701172,-0.245446,-0.048102,0.968216
11733337.00000000,6983290.00000000,324.02099609,-0.098109,-0.011859,0.995105
11733344.00000000,6983288.00000000,324.48001099,-0.048644,-0.011385,0.998751
11733352.00000000,6983286.00000000,324.93899536,-0.023480,-0.023480,0.999448
11733360.00000000,6983284.00000000,325.32598877,-0.110592,-0.039098,0.993097
11733367.00000000,6983282.00000000,325.69400024,-0.196404,-0.041661,0.979638
11733374.00000000,6983283.00000000,333.08898926,-0.418639,-0.080983,0.904535
11733340.00000000,6983287.00000000,324.00799561,-0.078154,-0.020342,0.996734
11733350.00000000,6983284.50000000,324.72900391,-0.017354,-0.029605,0.999411
11733359.00000000,6983282.50000000,325.19500732,-0.092854,-0.031680,0.995176
11733367.00000000,6983280.00000000,325.54901123,-0.196938,-0.029482,0.979973
11733375.00000000,6983280.00000000,330.12899780,-0.407052,-0.030298,0.912902
11733342.00000000,6983285.00000000,324.04699707,-0.065210,-0.031001,0.997390
11733349.00000000,6983283.00000000,324.58499146,-0.021741,-0.038305,0.999030
11733357.00000000,6983281.00000000,324.95901489,-0.069763,-0.031125,0.997078
11733364.00000000,6983279.00000000,325.39898682,-0.156721,-0.028599,0.987229
11733371.00000000,6983278.00000000,327.48498535,-0.269675,-0.018304,0.962777
11733335.00000000,6983285.00000000,323.47601318,-0.117737,-0.037003,0.992355
11733346.00000000,6983282.00000000,324.23098755,-0.037048,-0.047633,0.998178
11733354.00000000,6983280.00000000,324.78201294,-0.047925,-0.043665,0.997896
11733362.00000000,6983278.00000000,325.14898682,-0.131587,-0.030366,0.990839
11733371.00000000,6983276.00000000,326.31698608,-0.268434,-0.013361,0.963205
11733340.00000000,6983282.00000000,323.75201416,-0.085045,-0.049702,0.995137
11733345.00000000,6983281.00000000,324.02700806,-0.043930,-0.054645,0.997539
11733353.00000000,6983279.00000000,324.64401245,-0.046074,-0.052503,0.997557
11733361.00000000,6983276.50000000,325.05099487,-0.127692,-0.039551,0.991025
11733369.00000000,6983276.50000000,330.45800781,-0.254186,-0.023108,0.966879
11733373.00000000,6983273.50000000,325.95599365,-0.316937,-0.016285,0.948307
11733340.00000000,6983281.00000000,323.68600464,-0.085568,-0.058898,0.994590
11733345.00000000,6983279.50000000,323.89599609,-0.044376,-0.066022,0.996831
11733351.00000000,6983278.00000000,324.29598999,-0.037648,-0.065615,0.997135
11733358.00000000,6983276.00000000,324.88000488,-0.094837,-0.052439,0.994111
11733366.00000000,6983274.50000000,325.26699829,-0.191511,-0.029373,0.981051
11733372.00000000,6983273.00000000,325.74600220,-0.299710,-0.018654,0.953848
11733337.00000000,6983280.50000000,323.38400269,-0.110449,-0.064903,0.991760
11733347.00000000,6983281.50000000,333.59399414,-0.015313,-0.029606,0.999444
11733354.00000000,6983276.00000000,324.50601196,-0.058314,-0.071517,0.995733
11733362.00000000,6983274.00000000,325.04400635,-0.146761,-0.047380,0.988037
11733370.00000000,6983272.50000000,325.72000122,-0.251894,-0.025554,0.967417
