x,y,z,a,b,c
11733602.00000000,6983362.50000000,332.92898560,0.131613,0.051501,0.989962
11733597.00000000,6983350.00000000,336.58401489,0.323375,0.381613,0.865910
11733600.00000000,6983356.50000000,332.67999268,0.182901,0.096974,0.978337
11733590.00000000,6983344.50000000,350.26501465,0.343476,0.543433,0.765967
11733598.00000000,6983348.00000000,332.37100220,0.226537,0.232028,0.945962
11733600.00000000,6983360.00000000,333.00100708,0.194351,0.061565,0.978998
11733595.00000000,6983348.00000000,336.83300781,0.332922,0.423577,0.842464
11733598.00000000,6983352.00000000,332.60800171,0.237214,0.160351,0.958132
11733588.00000000,6983344.00000000,350.06799316,0.317723,0.538054,0.780737
11733596.00000000,6983352.00000000,332.41699219,0.268586,0.133631,0.953942
11733593.00000000,6983347.50000000,335.87500000,0.320148,0.378356,0.868534
11733595.00000000,6983354.50000000,332.51599121,0.314760,0.066061,0.946870
11733591.00000000,6983348.00000000,337.50299072,0.334810,0.415787,0.845590
11733594.00000000,6983354.50000000,332.45700073,0.337507,0.047846,0.940106
11733590.00000000,6983345.50000000,332.37100220,0.228588,0.250754,0.940675
11733593.00000000,6983356.00000000,332.70599365,0.374688,0.006394,0.927129
11733589.00000000,6983345.00000000,332.34500122,0.208247,0.263412,0.941938
11733593.00000000,6983361.50000000,333.33599854,0.410824,-0.011738,0.911639
11733592.00000000,6983361.50000000,333.30300903,0.428569,-0.019780,0.903292
11733591.00000000,6983359.50000000,333.06698608,0.430404,-0.030648,0.902116
11733591.00000000,6983359.50000000,333.07998657,0.430367,-0.033310,0.902039
11733591.00000000,6983361.00000000,333.32901001,0.442187,-0.030726,0.896397
11733590.00000000,6983360.00000000,333.17800903,0.445143,-0.044650,0.894346
11733635.00000000,6983363.00000000,333.89999390,-0.063877,0.088532,0.994023
11733626.00000000,6983362.50000000,333.15200806,-0.179355,0.089068,0.979744
11733631.00000000,6983363.00000000,336.37399292,-0.157843,0.135471,0.978127
11733620.00000000,6983362.00000000,332.70599365,-0.174246,0.075707,0.981788
11733626.00000000,6983361.50000000,333.31600952,-0.190593,0.089763,0.977557
11733632.00000000,6983362.00000000,337.30499268,-0.137682,0.152566,0.978656
11733636.00000000,6983360.00000000,333.70999146,-0.033875,0.088513,0.995499
11733627.00000000,6983361.50000000,336.76699829,-0.244872,0.172615,0.954066
11733635.00000000,6983359.00000000,333.77499390,-0.058779,0.083177,0.994800
11733627.00000000,6983362.50000000,342.94198608,-0.363335,0.276613,0.889648
11733630.00000000,6983359.00000000,334.16900635,-0.162477,0.106282,0.980972
11733636.00000000,6983358.00000000,333.67700195,-0.031311,0.076659,0.996566
11733624.00000000,6983358.00000000,333.05300903,-0.192120,0.084435,0.977732
11733630.00000000,6983361.50000000,345.24499512,-0.414848,0.254943,0.873444
11733633.00000000,6983363.00000000,350.57299805,-0.958009,0.229869,0.171405
11733635.00000000,6983361.50000000,346.57000732,0.367214,0.105113,0.924178
11733625.00000000,6983360.00000000,343.10598755,-0.333078,0.285707,0.898571
11733629.00000000,6983361.00000000,347.14801025,-0.504503,0.279585,0.816889
11733632.00000000,6983361.00000000,348.53900146,-0.739147,0.240105,0.629295
11733621.00000000,6983355.50000000,333.00100708,-0.187320,0.089375,0.978225
11733625.00000000,6983355.00000000,334.54299927,-0.228096,0.142071,0.963217
11733629.00000000,6983358.00000000,343.10598755,-0.263562,0.205606,0.942476
11733635.00000000,6983360.50000000,352.98800659,0.971634,-0.127947,0.198887
11733623.00000000,6983353.00000000,332.86300659,-0.204509,0.074701,0.976010
11733626.00000000,6983354.00000000,335.83599854,-0.223363,0.152827,0.962680
11733630.00000000,6983357.50000000,347.34500122,-0.311026,0.220132,0.924556
11733635.00000000,6983362.00000000,361.91198730,0.903469,-0.219684,0.368080
11733624.00000000,6983351.50000000,333.12600708,-0.210705,0.062115,0.975574
11733631.00000000,6983358.00000000,354.33898926,0.959333,-0.279961,0.036084
11733636.00000000,6983361.00000000,363.37500000,0.673235,-0.233828,0.701483
11733625.00000000,6983353.50000000,343.91299438,-0.207857,0.260165,0.942926
11733627.00000000,6983349.00000000,333.12600708,-0.184632,-0.005734,0.982791
11733630.00000000,6983348.50000000,332.88900757,-0.151459,-0.010097,0.988412
11733633.00000000,6983348.00000000,333.04000854,-0.116648,-0.007631,0.993144
11733620.00000000,6983348.00000000,332.65301514,-0.169365,-0.010230,0.985500
11733623.00000000,6983348.50000000,334.35900879,-0.221040,0.013002,0.975178
11733626.00000000,6983348.00000000,333.73599243,-0.197878,-0.019905,0.980024
11733630.00000000,6983346.50000000,332.71899414,-0.161792,-0.043067,0.985885
11733634.00000000,6983350.50000000,344.62200928,-0.020498,0.089544,0.995772
11733627.00000000,6983345.50000000,332.61999512,-0.188895,-0.081651,0.978597
11733634.00000000,6983344.50000000,332.70599365,-0.139743,-0.035220,0.989561
11733622.00000000,6983353.50000000,356.68899536,-0.411784,0.896743,0.162131
11733622.00000000,6983344.50000000,332.09500122,-0.157674,-0.090271,0.983356
11733626.00000000,6983355.00000000,362.09500122,0.362901,-0.317348,0.876124
11733627.00000000,6983349.00000000,345.75000000,-0.089379,0.107951,0.990130
11733628.00000000,6983344.00000000,332.25900269,-0.194272,-0.095280,0.976309
11733634.00000000,6983353.00000000,359.53601074,0.574823,-0.138136,0.806534
11733636.00000000,6983348.50000000,347.86300659,0.196511,0.074454,0.977671
11733623.00000000,6983354.00000000,361.28799438,0.408237,-0.486306,0.772560
11733626.00000000,6983355.00000000,366.00000000,0.275606,-0.281378,0.919167
11733629.00000000,6983352.50000000,360.66500854,0.387575,-0.242049,0.889493
11733632.00000000,6983353.50000000,364.61499023,0.277605,-0.216225,0.936046
11733633.00000000,6983347.50000000,348.52600098,0.062206,0.057841,0.996386
11733636.00000000,6983347.50000000,348.45999146,0.219285,0.078050,0.972534
11733624.00000000,6983346.00000000,345.16598511,-0.059208,0.005194,0.998232
11733636.00000000,6983350.00000000,360.23199463,0.498524,-0.065632,0.864388
11733622.00000000,6983350.00000000,359.72000122,0.371974,-0.867940,0.329113
11733623.00000000,6983345.50000000,347.77801514,0.001018,-0.043791,0.999040
11733628.00000000,6983349.00000000,359.66101074,0.341074,-0.204074,0.917618
11733629.00000000,6983345.00000000,349.10998535,-0.016980,0.004994,0.999843
11733633.00000000,6983347.50000000,357.46899414,0.432009,-0.001305,0.901868
11733623.00000000,6983349.00000000,363.50000000,0.205706,-0.153956,0.966428
11733625.00000000,6983346.50000000,357.13500977,0.234845,-0.382546,0.893592
11733628.00000000,6983346.00000000,356.52398682,0.244324,-0.134574,0.960310
11733634.00000000,6983345.50000000,358.48001099,0.429593,0.019827,0.902805
11733624.00000000,6983347.50000000,363.02700806,0.198368,-0.106046,0.974374
11733628.00000000,6983345.00000000,358.23098755,0.287137,-0.062532,0.955846
11733632.00000000,6983344.50000000,358.88699341,0.363728,0.003802,0.931498
11733622.00000000,6983345.00000000,360.29098511,0.211179,-0.129267,0.968862
11733628.00000000,6983345.00000000,362.86300659,0.219616,-0.049747,0.974317
11733620.00000000,6983344.00000000,360.48098755,0.183681,-0.160560,0.969784
11733626.00000000,6983355.00000000,365.44799805,0.284558,-0.278780,0.917229
11733621.00000000,6983352.50000000,362.34500122,0.306172,-0.357452,0.882319
11733627.00000000,6983360.50000000,353.07299805,-0.697349,0.496673,0.516740
11733625.00000000,6983353.00000000,364.56900024,0.253705,-0.248098,0.934923
11733621.00000000,6983351.50000000,360.51400757,0.428526,-0.884841,0.182818
11733632.00000000,6983362.50000000,354.85101318,-0.967852,0.235969,0.087069
11733628.00000000,6983360.50000000,353.12600708,-0.768825,0.448889,0.455419
11733624.00000000,6983361.50000000,343.04699707,-0.349686,0.301661,0.886973
11733624.00000000,6983355.00000000,355.48098755,-0.449769,0.832150,0.324398
11733623.00000000,6983350.00000000,363.85998535,0.216161,-0.184333,0.958799
11733620.00000000,6983349.00000000,361.09100342,0.323121,-0.554612,0.766811
11733632.00000000,6983360.50000000,356.28201294,0.970126,-0.237306,0.050412
11733627.00000000,6983361.00000000,347.01000977,-0.454626,0.325632,0.829023
11733628.00000000,6983356.00000000,359.18899536,0.601651,-0.406073,0.687838
11733626.00000000,6983354.50000000,357.42300415,0.577161,-0.736490,0.352800
11733625.00000000,6983351.00000000,363.68301392,0.230430,-0.198089,0.952713
11733621.00000000,6983352.00000000,353.88000488,-0.336039,0.909196,0.245847
11733634.00000000,6983360.50000000,356.19000244,0.978991,-0.168707,0.114523
11733632.00000000,6983355.50000000,362.56799316,0.393361,-0.225409,0.891324
11733627.00000000,6983358.50000000,348.68301392,-0.416430,0.375262,0.828109
11733625.00000000,6983359.00000000,343.24398804,-0.322231,0.278089,0.904894
11733628.00000000,6983351.50000000,363.50000000,0.251773,-0.191892,0.948572
11733624.00000000,6983353.50000000,353.80801392,-0.364630,0.828704,0.424612
11733623.00000000,6983351.50000000,355.21200562,-0.319519,0.933658,0.161834
11733620.00000000,6983352.00000000,349.15600586,-0.226932,0.734008,0.640105
11733621.00000000,6983345.50000000,362.66598511,0.163910,-0.060140,0.984640
11733633.00000000,6983358.50000000,355.39599609,0.975909,-0.161608,0.146574
11733630.00000000,6983353.50000000,360.73098755,0.422938,-0.248344,0.871463
11733623.00000000,6983360.00000000,332.85699463,-0.186098,0.081494,0.979146
11733620.00000000,6983358.00000000,332.65301514,-0.180141,0.078585,0.980497
11733623.00000000,6983351.50000000,350.06799316,-0.195329,0.610597,0.767475
11733636.00000000,6983362.00000000,349.79199219,0.898220,-0.095792,0.428980
11733634.00000000,6983358.50000000,352.92199707,0.976764,-0.100276,0.189411
11733633.00000000,6983352.00000000,364.15600586,0.280206,-0.194626,0.940003
11733630.00000000,6983352.50000000,357.90899658,0.470864,-0.198809,0.859513
11733624.00000000,6983358.00000000,335.73699951,-0.246407,0.181776,0.951967
11733622.00000000,6983358.00000000,332.66598511,-0.185692,0.078889,0.979436
11733626.00000000,6983346.50000000,363.61099243,0.199771,-0.077212,0.976796
11733624.00000000,6983345.00000000,363.27600098,0.184406,-0.051158,0.981518
11733621.00000000,6983344.00000000,360.70401001,0.179780,-0.073601,0.980949
11733635.00000000,6983358.00000000,352.00299072,0.925146,-0.019409,0.379116
11733631.00000000,6983356.00000000,349.51699829,-0.239051,0.190430,0.952151
11733632.00000000,6983350.50000000,362.96798706,0.291910,-0.156138,0.943615
11733629.00000000,6983352.00000000,354.73999023,0.286558,-0.038792,0.957277
11733629.00000000,6983348.00000000,362.81698608,0.247010,-0.101108,0.963724
11733621.00000000,6983355.00000000,332.95498657,-0.186912,0.086737,0.978540
11733626.00000000,6983345.00000000,363.25000000,0.199490,-0.059243,0.978107
11733636.00000000,6983357.50000000,350.97299194,0.822323,0.043428,0.567361
11733632.00000000,6983355.00000000,349.34600830,-0.088837,0.136217,0.986688
11733628.00000000,6983350.00000000,352.14099121,0.075589,0.051488,0.995809
11733628.00000000,6983345.00000000,362.81698608,0.219616,-0.049747,0.974317
11733636.00000000,6983363.50000000,333.78799438,-0.038172,0.083978,0.995736
11733635.00000000,6983356.00000000,347.42999268,0.241163,0.117357,0.963363
11733631.00000000,6983359.00000000,333.80801392,-0.144775,0.096915,0.984707
11733631.00000000,6983356.50000000,339.03100586,-0.134599,0.177368,0.974897
11733628.00000000,6983357.00000000,333.80801392,-0.188954,0.100034,0.976878
11733628.00000000,6983355.50000000,335.94699097,-0.207958,0.166105,0.963931
11733626.00000000,6983354.00000000,335.15301514,-0.225453,0.147261,0.963060
11733626.00000000,6983349.50000000,345.45498657,-0.096721,0.142096,0.985116
11733621.00000000,6983349.50000000,334.83200073,-0.225495,0.062843,0.972215
11733636.00000000,6983361.00000000,333.74899292,-0.036065,0.086337,0.995613
11733633.00000000,6983358.00000000,333.58499146,-0.102223,0.083846,0.991222
11733631.00000000,6983356.50000000,333.63699341,-0.139993,0.078820,0.987010
11733632.00000000,6983350.50000000,348.91299438,0.028122,0.038538,0.998861
11733631.00000000,6983349.50000000,347.86300659,-0.007314,0.065824,0.997804
11733628.00000000,6983349.50000000,342.07598877,-0.142020,0.073944,0.987098
11733625.00000000,6983345.00000000,346.66198730,-0.030755,-0.056207,0.997945
11733634.00000000,6983356.50000000,333.64999390,-0.077019,0.070321,0.994547
11733634.00000000,6983350.50000000,344.72000122,-0.016149,0.089359,0.995869
11733635.00000000,6983345.00000000,359.17498779,0.441164,0.027989,0.896990
11733628.00000000,6983351.00000000,332.96798706,-0.173553,0.033779,0.984245
11733623.00000000,6983347.50000000,333.12600708,-0.196045,-0.027000,0.980223
11733636.00000000,6983355.00000000,333.61099243,-0.035141,0.056438,0.997787
11733632.00000000,6983351.50000000,333.23699951,-0.111065,0.043753,0.992850
11733628.00000000,6983349.00000000,332.91598511,-0.169745,-0.010253,0.985435
11733623.00000000,6983345.00000000,332.19400024,-0.173793,-0.088720,0.980778
11733634.00000000,6983351.00000000,333.36199951,-0.084513,0.042806,0.995502
11733631.00000000,6983348.50000000,332.92898560,-0.141106,-0.007777,0.989964
11733627.00000000,6983345.00000000,332.48300171,-0.190550,-0.092202,0.977338
11733632.00000000,6983348.00000000,332.96798706,-0.129050,-0.009927,0.991588
11733635.00000000,6983349.00000000,333.26300049,-0.073582,0.020262,0.997083
11733632.00000000,6983346.50000000,332.77801514,-0.141672,-0.030601,0.989441
11733636.00000000,6983344.50000000,340.89498901,0.014983,-0.008990,0.999847
11733636.00000000,6983346.50000000,332.73199463,-0.081212,-0.001055,0.996696
11733622.00000000,6983344.00000000,332.03601074,-0.153561,-0.100359,0.983030
11733623.00000000,6983344.50000000,332.30499268,-0.172511,-0.099102,0.980010
11733621.00000000,6983346.50000000,332.25299072,-0.162860,-0.050381,0.985362
11733624.00000000,6983347.00000000,333.65701294,-0.202367,-0.044305,0.978307
11733626.00000000,6983347.00000000,334.05700684,-0.194526,-0.046543,0.979792
11733630.00000000,6983346.00000000,332.56799316,-0.165502,-0.052820,0.984794
11733624.00000000,6983351.50000000,333.34899902,-0.211643,0.067286,0.975028
11733630.00000000,6983347.50000000,332.64700317,-0.157421,-0.031025,0.987044
11733621.00000000,6983351.00000000,342.97500610,-0.153067,0.324061,0.933571
11733632.00000000,6983347.50000000,332.90200806,-0.132077,-0.014429,0.991134
11733622.00000000,6983351.00000000,344.79901123,-0.138569,0.336132,0.931565
11733633.00000000,6983348.00000000,332.98800659,-0.116901,-0.007648,0.993114
11733625.00000000,6983351.50000000,339.92999268,-0.203111,0.136685,0.969568
11733636.00000000,6983346.00000000,333.05300903,-0.085581,-0.001057,0.996331
11733625.00000000,6983347.50000000,351.22900391,0.057715,0.062071,0.996402
11733625.00000000,6983356.50000000,333.46701050,-0.206598,0.103925,0.972891
11733622.00000000,6983345.00000000,362.77801514,0.171227,-0.055501,0.983667
11733625.00000000,6983357.00000000,333.55200195,-0.207103,0.104179,0.972756
11733634.00000000,6983349.00000000,333.19799805,-0.094032,0.016212,0.995437
11733624.00000000,6983350.00000000,350.68499756,-0.056845,0.371474,0.926702
11733622.00000000,6983360.50000000,332.91598511,-0.189761,0.084474,0.978189
11733628.00000000,6983349.50000000,343.84100342,-0.111426,0.099697,0.988759
11733624.00000000,6983359.00000000,333.00100708,-0.189308,0.084273,0.978295
11733631.00000000,6983351.50000000,333.22399902,-0.126551,0.049024,0.990748
11733623.00000000,6983351.50000000,348.73599243,-0.170894,0.500795,0.848528
11733620.00000000,6983362.00000000,332.80398560,-0.176992,0.075854,0.981285
11733627.00000000,6983350.00000000,343.81500244,-0.124371,0.126786,0.984102
11733622.00000000,6983360.50000000,332.88900757,-0.189761,0.084474,0.978189
11733634.00000000,6983349.50000000,333.17800903,-0.092075,0.022748,0.995492
11733620.00000000,6983348.50000000,361.83999634,0.214439,-0.211741,0.953510
11733623.00000000,6983360.00000000,332.96200562,-0.186951,0.084311,0.978745
11733626.00000000,6983357.00000000,335.75000000,-0.235408,0.186982,0.953740
11733626.00000000,6983346.00000000,363.34201050,0.201233,-0.071956,0.976897
11733622.00000000,6983349.50000000,363.70300293,0.213962,-0.190041,0.958178
11733622.00000000,6983353.50000000,356.90499878,-0.416029,0.896392,0.152973
11733626.00000000,6983361.50000000,333.50000000,-0.193849,0.092603,0.976651
11733631.00000000,6983348.00000000,355.73098755,0.321938,-0.055596,0.945127
11733625.00000000,6983350.50000000,362.72500610,0.237573,-0.181200,0.954319
11733628.00000000,6983357.50000000,342.22698975,-0.273919,0.209958,0.938555
11733632.00000000,6983345.00000000,362.58700562,0.279961,-0.036084,0.959333
11733628.00000000,6983349.50000000,361.28799438,0.312114,-0.176171,0.933568
11733630.00000000,6983355.00000000,348.16500854,-0.185147,0.198278,0.962500
11733630.00000000,6983352.00000000,357.23300171,0.457051,-0.177824,0.871483
11733630.00000000,6983355.50000000,349.35299683,-0.215168,0.220581,0.951339
11733629.00000000,6983357.50000000,349.48999023,-0.455661,0.317867,0.831465
11733632.00000000,6983348.50000000,362.35101318,0.311395,-0.102032,0.944787
11733635.00000000,6983355.50000000,343.30300903,0.111590,0.130788,0.985110
11733625.00000000,6983354.00000000,364.87799072,0.277757,-0.277757,0.919621
11733633.00000000,6983355.50000000,349.29299927,-0.012047,0.114990,0.993294
11733628.00000000,6983359.50000000,349.91000366,-0.553364,0.370542,0.745981
11733631.00000000,6983349.50000000,363.67001343,0.251564,-0.140929,0.957525
11733627.00000000,6983353.50000000,363.75500488,0.260033,-0.226659,0.938621
11733628.00000000,6983361.50000000,346.82598877,-0.484455,0.296317,0.823103
11733632.00000000,6983352.50000000,356.08499146,0.558461,-0.063622,0.827088
11733632.00000000,6983356.00000000,349.89099121,-0.231145,0.142343,0.962450
11733629.00000000,6983361.00000000,347.02999878,-0.497697,0.276152,0.822215
11733634.00000000,6983352.50000000,355.68499756,0.681775,0.001383,0.731560
11733634.00000000,6983353.00000000,358.70901489,0.628565,-0.110404,0.769881
11733630.00000000,6983360.00000000,353.30899048,-0.897438,0.327824,0.295190
11733630.00000000,6983362.50000000,351.52398682,-0.847156,0.295808,0.441389
11733632.00000000,6983355.50000000,362.66598511,0.386323,-0.224743,0.894564
11733636.00000000,6983359.00000000,350.93399048,0.862764,-0.020316,0.505198
11733633.00000000,6983362.00000000,354.55599976,-0.977281,0.210181,0.027312
11733633.00000000,6983345.00000000,362.54199219,0.296490,-0.031275,0.954524
11733636.00000000,6983351.50000000,356.93798828,0.718057,0.023888,0.695574
11733636.00000000,6983347.50000000,353.34899902,0.525054,0.086798,0.846631
11733632.00000000,6983344.00000000,362.29199219,0.292400,-0.016039,0.956161
11733636.00000000,6983351.00000000,357.10198975,0.692714,0.023887,0.720816
11733633.00000000,6983347.50000000,361.98400879,0.331946,-0.069538,0.940732
11733635.00000000,6983352.00000000,358.06600952,0.659924,-0.038154,0.750363
11733635.00000000,6983345.50000000,352.88900757,0.412425,0.052393,0.909484
11733635.00000000,6983351.00000000,356.96398926,0.640246,-0.015277,0.768018
11733633.00000000,6983347.00000000,359.17498779,0.404239,-0.019623,0.914443
11733632.00000000,6983355.00000000,364.81799316,0.296167,-0.225314,0.928180
11733630.00000000,6983351.00000000,363.26300049,0.261362,-0.174693,0.949301
11733632.00000000,6983353.00000000,358.13198853,0.562031,-0.163364,0.810823
11733634.00000000,6983360.00000000,355.99301147,0.980431,-0.146388,0.131626
11733629.00000000,6983347.50000000,358.77499390,0.333318,-0.123804,0.934651
11733631.00000000,6983350.00000000,355.79598999,0.370894,-0.062480,0.926571
11733634.00000000,6983355.00000000,350.23800659,0.333398,0.077749,0.939575
11733625.00000000,6983345.00000000,363.00100708,0.192634,-0.051449,0.979921
11733627.00000000,6983349.50000000,361.69500732,0.282853,-0.158344,0.946003
11733632.00000000,6983361.00000000,353.57199097,-0.967399,0.223639,0.118848
11733635.00000000,6983345.00000000,332.95498657,-0.115728,-0.020941,0.993060
11733625.00000000,6983352.00000000,364.73999023,0.235698,-0.230185,0.944172
11733629.00000000,6983353.50000000,355.49398804,0.423793,-0.141264,0.894675
11733630.00000000,6983358.00000000,353.89300537,-0.905456,0.386003,0.176499
11733625.00000000,6983348.00000000,362.67898560,0.210933,-0.109887,0.971304
11733625.00000000,6983350.50000000,362.94198608,0.234436,-0.180851,0.955161
11733626.00000000,6983353.00000000,362.14801025,0.299708,-0.264960,0.916500
11733631.00000000,6983354.50000000,347.91598511,-0.110525,0.149391,0.982581
11733631.00000000,6983362.50000000,351.48498535,-0.894943,0.262695,0.360649
11733627.00000000,6983347.50000000,355.95401001,0.236395,-0.261573,0.935787
11733625.00000000,6983352.50000000,363.59799194,0.248484,-0.234602,0.939797
11733628.00000000,6983354.50000000,356.60299683,0.611368,-0.453920,0.648218
11733631.00000000,6983361.50000000,352.11499023,-0.908837,0.261126,0.325314
11733634.00000000,6983344.00000000,332.55499268,-0.142908,-0.040014,0.988927
11733634.00000000,6983346.00000000,332.90200806,-0.120868,-0.021069,0.992445
11733628.00000000,6983352.00000000,352.58700562,0.046348,0.191332,0.980430
11733635.00000000,6983353.50000000,333.45999146,-0.054981,0.050669,0.997201
11733633.00000000,6983363.50000000,345.57998657,-0.414848,0.254943,0.873444
11733633.00000000,6983346.00000000,332.76501465,-0.129656,-0.032696,0.991020
11733624.00000000,6983353.00000000,362.31799316,0.305531,-0.305531,0.901833
11733626.00000000,6983355.00000000,358.75500488,0.566290,-0.620383,0.542624
11733629.00000000,6983360.00000000,352.50201416,-0.808661,0.382713,0.446765
11733626.00000000,6983345.00000000,350.43499756,0.049644,-0.034856,0.998159
11733633.00000000,6983348.50000000,333.12600708,-0.111620,0.003251,0.993746
11733625.00000000,6983355.00000000,358.09298706,0.568439,-0.791478,0.224588
11733629.00000000,6983361.50000000,350.68499756,-0.750122,0.330699,0.572674
11733625.00000000,6983348.00000000,354.35299683,0.189610,-0.395142,0.898839
11733633.00000000,6983348.50000000,333.09899902,-0.113760,0.003250,0.993503
11733634.00000000,6983353.50000000,333.38800049,-0.080294,0.051696,0.995430
11733630.00000000,6983361.50000000,346.70800781,-0.509149,0.269366,0.817441
11733623.00000000,6983346.50000000,356.26901245,0.203082,-0.873104,0.443223
11733632.00000000,6983347.50000000,332.82998657,-0.132077,-0.014429,0.991134
11733623.00000000,6983354.00000000,360.13299561,0.515343,-0.757472,0.400822
11733630.00000000,6983356.00000000,343.07998657,-0.208299,0.171617,0.962891
11733629.00000000,6983361.00000000,347.75201416,-0.539501,0.292691,0.789475
11733631.00000000,6983344.50000000,332.62701416,-0.164626,-0.065140,0.984203
11733631.00000000,6983346.50000000,332.60699463,-0.153232,-0.040324,0.987367
11733623.00000000,6983353.00000000,358.15798950,0.438359,-0.897076,0.055643
11733632.00000000,6983353.50000000,333.25000000,-0.114748,0.055670,0.991834
11733629.00000000,6983362.00000000,346.85900879,-0.530213,0.278480,0.800826
11733620.00000000,6983350.00000000,360.76300049,0.401470,-0.887382,0.226660
11733631.00000000,6983350.50000000,333.19100952,-0.129376,0.030375,0.991130
11733628.00000000,6983355.50000000,342.94198608,-0.229961,0.194996,0.953464
11733629.00000000,6983363.00000000,344.87100220,-0.447676,0.275375,0.850738
11733625.00000000,6983347.50000000,342.99398804,-0.123230,0.041831,0.991496
11733620.00000000,6983354.00000000,361.17700195,0.515119,-0.841707,0.161810
11733630.00000000,6983354.50000000,333.44100952,-0.144367,0.069249,0.987098
11733628.00000000,6983363.00000000,344.26098633,-0.413678,0.282400,0.865518
11733627.00000000,6983344.50000000,332.33200073,-0.194648,-0.100423,0.975719
11733626.00000000,6983349.50000000,339.65399170,-0.180949,0.063512,0.981440
11733629.00000000,6983354.00000000,333.37500000,-0.158678,0.077549,0.984280
11733630.00000000,6983359.00000000,333.37500000,-0.157674,0.090271,0.983356
11733624.00000000,6983348.00000000,340.78298950,-0.154254,0.045232,0.986995
11733626.00000000,6983355.00000000,336.33401489,-0.230349,0.174426,0.957348
11733628.00000000,6983362.00000000,336.54400635,-0.223835,0.155768,0.962099
11733620.00000000,6983352.50000000,348.97198486,-0.241160,0.714022,0.657278
11733627.00000000,6983359.50000000,333.48599243,-0.199074,0.092736,0.975587
11733624.00000000,6983349.00000000,333.86099243,-0.216520,0.017748,0.976117
11733625.00000000,6983359.00000000,338.61801147,-0.278874,0.239237,0.930051
11733624.00000000,6983345.50000000,332.51501465,-0.189722,-0.086905,0.977984
11733625.00000000,6983357.50000000,335.93399048,-0.251773,0.191892,0.948572
11733623.00000000,6983345.50000000,332.30499268,-0.180534,-0.081180,0.980213
11733624.00000000,6983358.00000000,335.54000854,-0.244872,0.172615,0.954066
11733622.00000000,6983346.00000000,332.41699219,-0.172355,-0.062999,0.983018
11733624.00000000,6983358.00000000,333.04000854,-0.192120,0.084435,0.977732
11733622.00000000,6983350.50000000,333.78799438,-0.215003,0.067573,0.974273
11733625.00000000,6983362.00000000,333.05300903,-0.186951,0.084311,0.978745
11733623.00000000,6983354.50000000,332.84298706,-0.202607,0.077359,0.976200
11733621.00000000,6983346.00000000,332.16799927,-0.156286,-0.059929,0.985892
11733623.00000000,6983358.00000000,332.90301514,-0.188932,0.079229,0.978789
11733621.00000000,6983351.00000000,332.82998657,-0.189439,0.051232,0.980555
11733623.00000000,6983363.00000000,332.95498657,-0.183347,0.078924,0.979875
11733655.00000000,6983363.50000000,333.26300049,0.140350,0.039937,0.989296
11733648.00000000,6983363.00000000,333.41400146,0.164626,0.065140,0.984203
11733655.00000000,6983362.00000000,333.21099854,0.151295,0.045042,0.987462
11733645.00000000,6983363.00000000,337.16699219,0.196474,0.076881,0.977490
11733650.00000000,6983361.00000000,333.34799194,0.176251,0.068342,0.981970
11733638.00000000,6983363.50000000,339.78601074,0.138217,0.109372,0.984344
11733640.00000000,6983361.00000000,333.73599243,0.063489,0.081311,0.994665
11733645.00000000,6983362.00000000,338.68301392,0.227080,0.089076,0.969794
11733650.00000000,6983359.50000000,333.30300903,0.171166,0.070621,0.982708
11733638.00000000,6983362.00000000,339.22799683,0.119045,0.126260,0.984828
11733642.00000000,6983361.00000000,338.80801392,0.198798,0.108776,0.973985
11733645.00000000,6983359.00000000,333.74899292,0.147959,0.076938,0.985996
11733652.00000000,6983358.00000000,333.19100952,0.177412,0.076034,0.981195
11733641.00000000,6983358.50000000,333.74899292,0.089442,0.078121,0.992924
11733648.00000000,6983357.50000000,333.34799194,0.166817,0.078008,0.982897
11733655.00000000,6983356.50000000,333.04000854,0.180949,0.063512,0.981440
11733639.00000000,6983357.50000000,333.82101440,0.042294,0.070490,0.996616
11733644.00000000,6983359.00000000,339.20199585,0.240707,0.111987,0.964116
11733647.00000000,6983356.50000000,333.49899292,0.162432,0.085427,0.983015
11733652.00000000,6983355.50000000,333.11199951,0.185287,0.076295,0.979718
11733638.00000000,6983356.50000000,333.70901489,0.017911,0.064270,0.997772
11733643.00000000,6983359.00000000,343.38101196,0.387870,0.123729,0.913372
11733646.00000000,6983358.00000000,340.94000244,0.298469,0.124474,0.946268
11733649.00000000,6983355.00000000,333.31600952,0.175768,0.086066,0.980662
11733654.00000000,6983354.00000000,332.98800659,0.191967,0.066404,0.979152
11733639.00000000,6983360.50000000,349.44400024,0.711214,0.012526,0.702864
11733641.00000000,6983354.50000000,333.82101440,0.076848,0.070166,0.994571
11733645.00000000,6983356.00000000,339.43798828,0.263729,0.124648,0.956509
11733649.00000000,6983353.00000000,333.22399902,0.179355,0.089068,0.979744
11733637.00000000,6983359.00000000,349.70700073,0.755325,0.015301,0.655172
11733640.00000000,6983358.00000000,347.75100708,0.559752,0.109043,0.821454
11733646.00000000,6983357.50000000,348.41400146,0.542146,0.121289,0.831485
11733650.00000000,6983355.50000000,345.02200317,0.412451,0.125284,0.902324
11733654.00000000,6983350.50000000,332.95498657,0.212150,0.067446,0.974907
11733638.00000000,6983351.50000000,333.48599243,-0.003091,0.054614,0.998503
